id_handwritting,id_writer,class
z01-000-01,10000,1
z01-000-02,10000,1
z01-000-03,10000,1
z01-000-04,10000,1
z01-000-05,10000,1
z01-000-06,10000,1
z01-000-07,10000,1
a01-020x-01,10002,2
a01-020x-02,10002,2
a01-020x-03,10002,2
a01-020x-04,10002,2
a01-020x-05,10002,2
a01-020x-06,10002,2
d04-081-01,10002,2
d04-081-02,10002,2
d04-081-03,10002,2
d04-081-04,10002,2
d04-081-05,10002,2
f02-000-01,10002,2
f02-000-02,10002,2
f02-000-03,10002,2
f02-000-04,10002,2
f02-000-05,10002,2
f02-000-06,10002,2
f02-000-07,10002,2
f04-061-01,10002,2
f04-061-02,10002,2
f04-061-03,10002,2
f04-061-04,10002,2
f04-061-05,10002,2
f04-061-06,10002,2
f07-088b-01,10002,2
f07-088b-02,10002,2
f07-088b-03,10002,2
f07-088b-04,10002,2
f07-088b-05,10002,2
f07-088b-06,10002,2
f07-088b-07,10002,2
h02-024-01,10002,2
h02-024-02,10002,2
h02-024-03,10002,2
h02-024-04,10002,2
h02-024-05,10002,2
h02-024-06,10002,2
h02-037-01,10002,2
h02-037-02,10002,2
h02-037-03,10002,2
h02-037-04,10002,2
h02-037-05,10002,2
h07-013-01,10002,2
h07-013-02,10002,2
h07-013-03,10002,2
h07-013-04,10002,2
h07-013-05,10002,2
h07-013-06,10002,2
b01-113-01,10004,3
b01-113-02,10004,3
b01-113-03,10004,3
b01-113-04,10004,3
b01-113-05,10004,3
b01-113-06,10004,3
b01-113-07,10004,3
b01-113-08,10004,3
b01-113-09,10004,3
b01-113-10,10004,3
c02-049-01,10004,3
c02-049-02,10004,3
c02-049-03,10004,3
c02-049-04,10004,3
c02-049-05,10004,3
c02-049-06,10004,3
c02-049-07,10004,3
d04-005-01,10004,3
d04-005-02,10004,3
d04-005-03,10004,3
d04-005-04,10004,3
d04-005-05,10004,3
d04-005-06,10004,3
d04-005-07,10004,3
d04-005-08,10004,3
d04-005-09,10004,3
d06-011-01,10004,3
d06-011-02,10004,3
d06-011-03,10004,3
d06-011-04,10004,3
d06-011-05,10004,3
d06-011-06,10004,3
d06-011-07,10004,3
e01-050-01,10004,3
e01-050-02,10004,3
e01-050-03,10004,3
e01-050-04,10004,3
e01-050-05,10004,3
e01-050-06,10004,3
e01-050-07,10004,3
e01-050-08,10004,3
e01-050-09,10004,3
f01-075-01,10004,3
f01-075-02,10004,3
f01-075-03,10004,3
f01-075-04,10004,3
f01-075-05,10004,3
f01-075-06,10004,3
f01-075-07,10004,3
f01-075-08,10004,3
f01-075-09,10004,3
g04-043-01,10004,3
g04-043-02,10004,3
g04-043-03,10004,3
g04-043-04,10004,3
g04-043-05,10004,3
g04-043-06,10004,3
g04-043-07,10004,3
g04-043-08,10004,3
g04-043-09,10004,3
g04-043-10,10004,3
h07-028a-01,10004,3
h07-028a-02,10004,3
h07-028a-03,10004,3
h07-028a-04,10004,3
h07-028a-05,10004,3
h07-028a-06,10004,3
h07-028a-07,10004,3
h07-028a-08,10004,3
a01-038x-01,10005,4
a01-038x-02,10005,4
a01-038x-03,10005,4
a01-038x-04,10005,4
a01-038x-05,10005,4
a01-038x-06,10005,4
a01-038x-07,10005,4
a01-038x-08,10005,4
a06-044-01,10005,4
a06-044-02,10005,4
a06-044-03,10005,4
a06-044-04,10005,4
a06-044-05,10005,4
a06-044-06,10005,4
a06-044-07,10005,4
a06-044-08,10005,4
a06-044-09,10005,4
a06-114-01,10005,4
a06-114-02,10005,4
a06-114-03,10005,4
a06-114-04,10005,4
a06-114-05,10005,4
a06-114-06,10005,4
b03-087-01,10005,4
b03-087-02,10005,4
b03-087-03,10005,4
b03-087-04,10005,4
b03-087-05,10005,4
b03-087-06,10005,4
b03-087-07,10005,4
b03-087-08,10005,4
b03-087-09,10005,4
b03-087-10,10005,4
b05-088-01,10005,4
b05-088-02,10005,4
b05-088-03,10005,4
b05-088-04,10005,4
